data_dte,Year,Month,usg_apt_id,usg_apt,usg_wac,fg_apt_id,fg_apt,fg_wac,airlineid,carrier,carriergroup,type,Scheduled,Charter,Total
9/1/2003,2003,9,11726,FOE,62,11760,FRA,429,19805,AA,1,Departures,0,1,1
9/1/2006,2006,9,13303,MIA,33,15643,VVI,312,20308,WE,1,Departures,0,2,2
6/1/2002,2002,6,10299,ANC,1,12143,HKG,729,20095,WO,1,Departures,0,3,3
2/1/2001,2001,2,11977,GRB,45,11032,CUN,148,20312,TZ,1,Departures,0,1,1
12/1/2009,2009,12,10581,BGR,12,13560,MXP,450,20095,WO,1,Departures,0,1,1
8/1/2008,2008,8,11618,EWR,21,10521,BDA,207,20400,PT,1,Departures,0,42,42
12/1/2003,2003,12,12217,HSV,51,13252,MEX,148,19545,CV,0,Departures,0,7,7
12/1/2002,2002,12,13930,ORD,41,14153,PLS,281,20402,MMQ,1,Departures,0,1,1
10/1/2009,2009,10,12016,GUM,5,14583,ROR,854,20177,PFQ,1,Departures,0,2,2
2/1/2007,2007,2,15295,TOL,44,16271,YYZ,936,20166,GFQ,1,Departures,0,1,1
5/1/2005,2005,5,12889,LAS,85,16229,YVR,906,20312,TZ,1,Departures,0,2,2
4/1/2006,2006,4,14635,RSW,33,16271,YYZ,936,20204,MG,1,Departures,0,1,1
1/1/2005,2005,1,10721,BOS,13,11760,FRA,429,20107,FX,1,Departures,0,1,1
2/1/2006,2006,2,13303,MIA,33,11052,CLO,327,20007,5Y,1,Departures,0,1,1
12/1/2010,2010,12,11540,ELP,74,14677,SAL,118,20203,FCQ,1,Departures,0,1,1
5/1/2005,2005,5,13303,MIA,33,13218,MDE,327,20193,GR,1,Departures,0,1,1
8/1/2006,2006,8,11517,EIL,1,12739,KMQ,736,20007,5Y,1,Departures,0,1,1
3/1/2006,2006,3,10721,BOS,13,11032,CUN,148,20207,XP,1,Departures,0,8,8
